GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
biblioteca,com.fatec.biblioteca.model.usuarios,Bibliotecario,0,4,0,0,0,2,0,1,0,1
biblioteca,com.fatec.biblioteca.model.usuarios,Professor,0,4,0,0,0,2,0,1,0,1
biblioteca,com.fatec.biblioteca.model.usuarios,Usuario,0,16,0,0,0,5,0,3,0,3
biblioteca,com.fatec.biblioteca.model.usuarios,Aluno,0,4,0,0,0,2,0,1,0,1
biblioteca,com.fatec.biblioteca.controller,BibliotecaController,0,48,0,0,0,16,0,10,0,10
biblioteca,com.fatec.biblioteca.model,Biblioteca,6,228,4,20,2,51,4,19,0,11
biblioteca,com.fatec.biblioteca.model,Emprestimo,0,48,0,0,0,15,0,8,0,8
biblioteca,com.fatec.biblioteca.model,Emprestimo.Status,0,24,0,0,0,2,0,1,0,1
biblioteca,com.fatec.biblioteca.model,Livro,0,59,0,4,0,16,0,10,0,8
biblioteca,com.fatec.biblioteca.model,Usuario,13,0,0,0,5,0,3,0,3,0
biblioteca,com.fatec.biblioteca.factories,UsuarioFactory,0,34,0,6,0,7,0,5,0,1
biblioteca,com.fatec.biblioteca.factories,LivroFactory,0,6,0,0,0,1,0,1,0,1
biblioteca,com.fatec.biblioteca.view,BibliotecaView,421,0,32,0,123,0,32,0,12,0
biblioteca,com.fatec.biblioteca,Main,18,0,0,0,6,0,2,0,2,0
